Timestamp,Total final consumption / Mean values [W],temperature_2m (°C),Is_Daylight,Lights,Month,Day Type,Hour,Avg Peak Consumption (W),Avg Low Consumption (W),Max Peak Consumption (W),Min Avg Low Consumption (W),Date,Percentage Increase,Active,Sleep,light_amount,Kitchen,fridge_max,Fridge_E,activity_intensity,LCD_TV,Games_Console,Cell_Phone,Washing_machine,Computer_desk,heating,Unknown
2019-01-21 15:00:00,1566.0,27.3,1,0.0,1,Weekday,15,2223.189372090397,557.2398371221248,2683.2611417307644,133.66855444047792,2019-01-21,286.77744736764106,1,0,0.0,0.0,476.1021481958763,417.2544246823502,5.889698141278271,175.0,5,0,0.0,10.0,0.0,958.7455753176498
2019-01-21 16:00:00,1862.0,29.4,1,0.0,1,Weekday,16,2454.47750969951,693.9348172551984,3693.019002612397,676.8023738013453,2019-01-21,359.88480651248256,1,0,0.0,296.0,476.1021481958763,446.2411352299778,7.391142139826537,350.0,5,0,0.0,10.0,0.0,754.7588647700222
2019-01-21 17:00:00,640.0,30.8,1,0.0,1,Weekday,17,2921.8264283869257,567.297249662327,4211.727413205814,200.87023366142049,2019-01-21,58.06996571857618,1,0,0.0,0.0,476.1021481958763,386.49997136919023,1.192613199873899,25.0,5,0,0.0,10.0,0.0,213.50002863080977
2019-01-21 18:00:00,1002.0,31.6,1,0.0,1,Weekday,18,2453.803934118277,0.0,3456.4597616463507,0.0,2019-01-21,147.47829007814585,1,0,0.0,0.0,476.1021481958763,411.42662986131756,3.0288386305309,25.0,5,0,0.0,10.0,0.0,550.5733701386824
2019-01-21 19:00:00,1162.0,31.9,1,0.0,1,Weekday,19,2440.3707500911964,585.0946134407498,2881.0246887149324,389.3225210346265,2019-01-21,186.99578150778987,1,0,0.0,160.0,476.1021481958763,422.12500165082827,3.84042998109753,25.0,5,0,0.0,10.0,0.0,539.8749983491717
2019-01-21 20:00:00,404.884,31.6,1,0.0,1,Weekday,20,2212.6735546660248,307.6054387064364,2385.49945127451,296.33815870225703,2019-01-21,0.0,0,0,0.0,0.0,476.1021481958763,364.884,0.0,25.0,5,0,0.0,10.0,0.0,0.0
2019-01-21 21:00:00,1097.0,30.7,0,0.0,1,Weekday,21,2122.702061491955,152.1547147075385,2834.039009850364,66.47284748790509,2019-01-21,170.94180061449697,1,0,499.0,0.0,476.1021481958763,411.36256775479353,3.5107209949298364,25.0,5,0,0.0,10.0,0.0,146.63743224520647
2019-01-21 22:00:00,1306.0,29.2,0,0.0,1,Weekday,22,2244.301552038463,789.7913294223265,2723.9630159758653,789.7913294223265,2019-01-21,222.5615237944695,1,0,499.0,0.0,476.1021481958763,414.07824400961596,4.570862196607497,175.0,5,0,0.0,10.0,0.0,202.9217559903841
2019-01-21 23:00:00,1322.0,27.1,0,0.0,1,Weekday,23,2545.047221687843,191.415616995744,3163.5563544904608,191.415616995744,2019-01-21,226.5132729374339,1,0,499.0,0.0,476.1021481958763,402.4718614928519,4.65202133166416,175.0,5,0,0.0,10.0,0.0,230.52813850714801
2019-01-22 00:00:00,1634.0,25.1,0,0.0,1,Weekday,0,1992.713595686393,450.6224207366385,2100.185817832513,268.83605297845247,2019-01-22,231.4401622718053,1,0,499.0,0.0,476.1021481958763,407.9496358188184,5.662399503574806,175.0,5,0,0.0,10.0,0.0,537.0503641811815
